text,category,predicted_category
The government announced a new policy aimed at boosting economic growth.,,business
A major technology firm unveiled its latest smartphone model today.,,business
The national football team secured a dramatic victory in the final minutes.,,sport
Stock markets climbed after positive earnings reports from major banks.,,business
A popular actor received critical acclaim for a new film release.,,entertainment
Parliament debated a new education reform bill this morning.,,politics
A tennis champion advanced to the finals after a strong performance.,,sport
A startup company introduced a new artificial intelligence platform.,,business
Music fans celebrated the release of a long-awaited album.,,entertainment
Oil prices rose following global supply concerns.,,business
The prime minister held talks with foreign leaders about trade.,,business
A new video game broke sales records in its first week.,,business
The basketball team celebrated their championship win.,,sport
Technology experts discussed the future of virtual reality.,,tech
Investors reacted positively to a rise in retail sales.,,business
A famous singer announced a world tour next year.,,entertainment
Lawmakers proposed changes to national tax policies.,,business
The cricket team dominated the match with a strong batting display.,,sport
A new streaming service launched with exclusive shows.,,entertainment
Analysts warned about possible inflation in coming months.,,business
The president addressed the nation about economic recovery.,,business
A cycling race drew thousands of spectators this weekend.,,sport
A tech company announced a breakthrough in battery technology.,,business
The theater premiere attracted celebrities and critics.,,entertainment
A leading bank reported record quarterly profits.,,business
Political leaders debated immigration policy reforms.,,business
The rugby club signed a promising young player.,,sport
Researchers developed a new cybersecurity defense tool.,,business
A film festival highlighted emerging international directors.,,entertainment
Retail companies expect strong holiday sales this year.,,business
Government officials discussed climate policy at a summit.,,business
A football coach praised his team's defensive strategy.,,sport
A major software update improved smartphone performance.,,sport
A television drama gained popularity among viewers.,,entertainment
The central bank hinted at potential interest rate changes.,,business
Election campaigns intensified ahead of the national vote.,,politics
A marathon race attracted runners from around the world.,,sport
A tech startup secured funding from major investors.,,business
A comedy film topped the weekend box office.,,entertainment
The business conference focused on innovation and trade.,,business
Parliament voted on new environmental protection laws.,,business
A star striker scored three goals in a thrilling match.,,sport
A robotics company showcased new automation technology.,,business
Fans lined up for tickets to a music festival.,,entertainment
Economists predicted moderate growth in the coming year.,,business
A government report highlighted rising employment rates.,,business
The hockey team advanced to the championship final.,,sport
A company introduced a new cloud computing platform.,,business
A television series finale drew millions of viewers.,,entertainment
Markets fell after uncertainty in global trade talks.,,business
The mayor announced plans for urban development.,,politics
A boxing champion defended his title successfully.,,sport
New smartphone features were revealed at a tech expo.,,sport
Actors attended a gala celebrating film achievements.,,entertainment
A retailer expanded its online shopping platform.,,business
Political analysts discussed the impact of recent polls.,,business
A golf tournament concluded with a dramatic playoff.,,sport
Cybersecurity experts warned of new online threats.,,tech
A documentary film received international awards.,,entertainment
Shares dropped after disappointing company earnings.,,business
The defense minister outlined new military strategies.,,business
A football transfer deal broke previous records.,,sport
A software developer released a popular mobile app.,,tech
A singer performed to a sold-out arena crowd.,,entertainment
Trade negotiations continued between major economies.,,business
A senate committee reviewed national infrastructure plans.,,sport
A basketball player set a new scoring record.,,sport
A tech conference highlighted advances in artificial intelligence.,,sport
A new movie trailer generated excitement among fans.,,entertainment
Investors monitored changes in global currency markets.,,business
Government leaders met to discuss healthcare reform.,,business
A swimmer broke a national record in competition.,,sport
A gaming company launched a next-generation console.,,tech
A music awards show celebrated top artists of the year.,,entertainment
Small businesses reported steady revenue growth.,,business
A foreign minister met diplomats to discuss security.,,business
A baseball team celebrated a crucial playoff victory.,,sport
Scientists unveiled new research on quantum computing.,,sport
A drama series received multiple award nominations.,,entertainment
Energy companies invested in renewable technology projects.,,business
The opposition party criticized the new policy proposal.,,politics
A Formula One driver secured pole position for the race.,,sport
A technology company revealed a prototype wearable device.,,tech
Fans praised the latest superhero movie release.,,entertainment
Financial analysts warned of slowing global markets.,,business
The president signed a bill supporting infrastructure projects.,,business
A volleyball team celebrated winning the national title.,,sport
A cybersecurity firm reported a rise in hacking attempts.,,business
A famous director announced plans for a new film.,,entertainment
Retail chains reported strong online sales growth.,,business
Parliament discussed reforms to national labor laws.,,business
A young athlete won gold at the regional championship.,,sport
A tech giant expanded its cloud services worldwide.,,business
A popular television show returned for a new season.,,entertainment
Economists debated the impact of rising interest rates.,,business
Government officials introduced a new transportation plan.,,business
A soccer club celebrated its historic tournament win.,,sport
A startup created a new app to improve productivity.,,business
